resultId,raceId,driverId,constructorId,number
1,18,0,1,22
2,18,1,2,3
3,18,2,3,7
4,18,3,4,5
5,18,4,1,23
6,18,5,3,8
7,18,6,5,14
8,18,7,6,1
9,18,8,2,4
10,18,9,7,12
11,18,10,8,18
12,18,11,4,6
13,18,12,6,2
14,18,13,9,9
15,18,14,7,11
16,18,15,10,20
17,18,16,9,10
18,18,17,11,16
19,18,18,8,19
20,18,19,5,15
21,18,20,10,21
22,18,21,11,17
23,19,7,6,1
24,19,8,2,4
25,19,4,1,23
26,19,14,7,11
27,19,0,1,22
28,19,1,2,3
29,19,16,9,10
30,19,3,4,5
31,19,13,9,9
32,19,17,11,16
33,19,11,4,6
34,19,20,10,21
35,19,21,11,17
36,19,2,3,7
37,19,18,8,19
38,19,10,8,18
39,19,5,3,8
40,19,19,5,15
41,19,12,6,2
42,19,15,10,20
43,19,9,7,12
44,19,6,5,14
45,20,12,6,2
46,20,7,6,1
47,20,8,2,4
48,20,1,2,3
49,20,4,1,23
50,20,14,7,11
51,20,16,9,10
52,20,2,3,7
53,20,9,7,12
54,20,3,4,5
55,20,21,11,17
56,20,20,10,21
57,20,0,1,22
58,20,5,3,8
59,20,6,5,14
60,20,18,8,19
61,20,10,8,18
62,20,13,9,9
63,20,15,10,20
64,20,11,4,6
65,20,17,11,16
66,20,19,5,15
67,21,7,6,1
68,21,12,6,2
69,21,0,1,22
70,21,8,2,4
71,21,16,9,10
72,21,17,11,16
73,21,5,3,8
74,21,14,7,11
75,21,1,2,3
76,21,20,10,21
77,21,9,7,12
78,21,13,9,9
79,21,10,8,18
80,21,2,3,7
81,21,3,4,5
82,21,21,11,17
83,21,4,1,23
84,21,18,8,19
85,21,6,5,14
86,21,11,4,6
87,21,15,10,20
88,21,19,5,15
89,22,12,6,2
90,22,0,1,22
91,22,7,6,1
92,22,8,2,4
93,22,1,2,3
94,22,3,4,5
95,22,16,9,10
96,22,2,3,7
97,22,13,9,9
98,22,14,7,11
99,22,17,11,16
100,22,4,1,23
101,22,9,7,12
102,22,21,11,17
103,22,11,4,6
